prose,formula,option_a,option_b,option_c,option_d,correct_answer,topic,initial_difficulty_b,initial_discrimination_a
What is the molar mass of sulfuric acid ()?,H_2SO_4,98.07 g/mol,49.04 g/mol,100.0 g/mol,64.07 g/mol,A,Stoichiometry,0,1.1
How many moles of  are produced when 2 moles of  combust completely?,CO_2,2 moles,4 moles,6 moles,1 mole,B,Stoichiometry,0,1.2
"A compound is found to contain 40.0% carbon, 6.7% hydrogen, and 53.3% oxygen by mass. What is its empirical formula?",,$CH_2O$,$CHO$,$C_2H_4O_2$,$CHO_2$,A,Stoichiometry,1.5,1.4
Which quantum number describes the shape of an orbital?,,Principal (n),Angular Momentum (l),Magnetic (ml),Spin (ms),B,Atomic Structure,0,1
What is the electron configuration for a neutral sodium atom (Na)?,,$1s^22s^22p^63s^1$,$1s^22s^22p^53s^2$,$1s^22s^22p^6$,$1s^22s^22p^63s^2$,A,Atomic Structure,-1,0.9
Which of the following elements has the highest first ionization energy?,,Na,K,Cl,Ar,D,Atomic Structure,0,1.3
Which of the following processes is endothermic?,,Combustion of methane,Freezing of water,Melting of ice,Condensation of steam,C,Thermodynamics,-1,0.8
A reaction has a  of -100 kJ/mol and a  of -250 J/mol·K. At what temperature will it become non-spontaneous?,\Delta H,400 K,250 K,500 K,It is always spontaneous,A,Thermodynamics,1.5,1.5
What is the standard enthalpy of formation () of an element in its standard state?,\Delta H_f^{\circ},0 kJ/mol,Depends on the element,100 kJ/mol,Cannot be determined,A,Thermodynamics,0,1
What is the molecular geometry of methane ()?,CH_4,Linear,Trigonal planar,Tetrahedral,Bent,C,Chemical Bonding,-1,0.9
Which of the following molecules contains a double bond?,,$O_2$,$N_2$,$F_2$,$H_2$,A,Chemical Bonding,0,1.1
Which type of intermolecular force is the strongest?,,London dispersion forces,Dipole-dipole interactions,Hydrogen bonding,Ionic bonding,C,Chemical Bonding,0,1.2
What is the pH of a 0.01 M solution of HCl?,,1,2,3,12,B,Acids and Bases,0,1
Which of the following is a strong acid?,,$H_2CO_3$,$CH_3COOH$,$HF$,$HNO_3$,D,Acids and Bases,-1,0.9
A solution has a pH of 9. What is its pOH?,,5,7,9,14,A,Acids and Bases,0,1.1
What is the conjugate base of ?,NH_4^+,$NH_3$,$NH_2^-$,$N_2H_4$,$HNO_2$,A,Acids and Bases,0,1.2
What is the role of a catalyst in a chemical reaction?,,It increases the activation energy.,It is consumed in the reaction.,It provides an alternative reaction pathway with a lower activation energy.,It shifts the equilibrium to the right.,C,Reaction Kinetics,0,1
"For a first-order reaction, what does the rate depend on?",,The concentration of the reactant squared.,The concentration of the reactant.,The temperature only.,It is constant.,B,Reaction Kinetics,0,1.3
"The half-life of a first-order reaction is 10 minutes. If the initial concentration is 1.0 M, what will be the concentration after 20 minutes?",,0.5 M,0.25 M,0.1 M,0.0 M,B,Reaction Kinetics,1.5,1.4
"What is the expression for the equilibrium constant, K_c?",2SO_2(g) + O_2(g) \rightleftharpoons 2SO_3(g),$\\frac{[SO_3]^2}{[SO_2]^2[O_2]}$,$\\frac{[SO_2]^2[O_2]}{[SO_3]^2}$,$\\frac{[SO_3]}{[SO_2][O_2]}$,$\\frac{[SO_2][O_2]}{[SO_3]}$,A,Equilibrium,0,1.2
"If the pressure of the system is increased, in which direction will the equilibrium shift?",$[SO_3]^2 / ([SO_2]^2 [O_2])$,To the left (reactants),To the right (products),No change,Depends on the catalys,B,Equilibrium,0,1.2
"If the pressure of the system is increased, in which direction will the equilibrium shift?",N_2(g) + 3H_2(g) \rightleftharpoons 2NH_3(g),To the left (reactants),To the right (products),No change,Depends on the catalys,B,Equilibrium,0,1.3
What does it mean if the value of K is much less than 1 ()?,K \ll 1,The reaction has reached completion.,The equilibrium lies to the right; products are favored.,The equilibrium lies to the left; reactants are favored.,The reaction is very fast.,C,Equilibrium,0,1.1
"In a galvanic cell, where does oxidation occur?",,The anode,The cathode,The salt bridge,The external circuit,A,Electrochemistry,-1,0.9
What is the standard cell potential () for a reaction if  for the cathode is +0.80 V and  for the anode is -0.76 V?,E^{\circ}_{cell},+1.56 V,+0.04 V,-1.56 V,-0.04 V,A,Electrochemistry,1.5,1.4
Which of the following is a common oxidizing agent?,,Li,$F_2$,Na,$H_2$,B,Electrochemistry,0,1.2
Which law states that the volume of a gas is directly proportional to its temperature at constant pressure?,,Boyle's Law,Charles's Law,Avogadro's Law,Ideal Gas Law,B,Gas Laws,-1,0.8
"A container holds 2 moles of He, 3 moles of Ne, and 5 moles of Ar at a total pressure of 10 atm. What is the partial pressure of Ne?",,2 atm,3 atm,5 atm,10 atm,B,Gas Laws,0,1.3
Under what conditions do real gases behave most like ideal gases?,,High temperature and high pressure,Low temperature and high pressure,High temperature and low pressure,Low temperature and low pressure,C,Gas Laws,0,1.1
What is the definition of molarity?,,Moles of solute / Liters of solution,Moles of solute / Kilograms of solvent,Grams of solute / Liters of solution,Moles of solvent / Liters of solution,A,Solutions,-1,0.8
Which of the following would be most likely to be soluble in water ()?,H_2O,Methane ($CH_4$),Ethanol ($C_2H_5OH$),Benzene ($C_6H_6$),Carbon tetrachloride ($CCl_4$),B,Solutions,0,1
